List of Countries,"What is your year of birth (Just the year, e.g. 1995) ?",How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your first degree subject area?,How many years work experience do you have?,What sectors have you worked in?,Previous experiences of team working in study and work,"Based on experience or feeling, my expectations for this module are that: - I will enjoy working in the team","Based on experience or feeling, my expectations for this module are that: - Team communication will be highly effective","Based on experience or feeling, my expectations for this module are that: - Team communication will be very frequent","Based on experience or feeling, my expectations for this module are that: - My team will bond personally as well as professionally","Based on experience or feeling, my expectations for this module are that: - We will collaborate together on the same tasks","Based on experience or feeling, my expectations for this module are that: - We will tend to work on separate tasks and link them together later on","Based on experience or feeling, my expectations for this module are that: - I will develop my professional skills as a result of the team project","Based on experience or feeling, my expectations for this module are that: - I will develop my team working skills and my approach to collaboration as a result of the team project","Based on experience or feeling, my expectations for this module are that: - We will adjust the project regularly as we go along","Based on experience or feeling, my expectations for this module are that: - We will stick to our original project plan","Based on experience or feeling, my expectations for this module are that: - We will produce an end result which we are proud of","I see myself as... - Extraverted, enthusiastic","I see myself as... - Critical, quarrelsome","I see myself as... - Dependable, self-disciplined","I see myself as... - Anxious, easily upset","I see myself as... - Open to a new experiences, complex","I see myself as... - Reserved, quiet","I see myself as... - Sympathetic, warm","I see myself as... - Disorganised, careless","I see myself as... - Calm, emotionally stable","I see myself as... - Conventional, uncreative","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 1. Because I think that this module is interesting","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 2. Because I am doing it for my own good","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 3. Because I am supposed to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 4. There may be good reasons to do this module, but personally I don’t see any","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 5. Because I think that this module is pleasant","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 6. Because I think that this module is good for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 7. Because it is something that I have to do","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 8. I am doing this module but I am not sure if it is worth it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 9. Because this module looks fun","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 10. By personal decision","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 11. Because I don’t have any choice","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 12. I don’t know; I don’t see what this module brings me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 13. Because I feel good about this module","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 14. Because I believe that this module is important for me","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 15. Because I feel that I have to do it","Why are you doing this module? 
Score by the extent to which the statement corresponds with how you feel about it - 16. I am doing this module, but I am not sure it is a good thing to pursue it"
Turkey,1969,Female,,CAH22-01	Education and teaching,30,"FINANCIAL AND INSURANCE ACTIVITIES,EDUCATION",I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree moderately,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Agree moderately,Diagree strongly,,Diagree strongly,Exactly,Exactly,Moderately,Not At All,Exactly,Exactly,Moderately,Not At All,Moderately,Moderately,Not At All,Not At All,Exactly,Exactly,Moderately,Not At All
Sri Lanka,2001,Male,,CAH17-01	Business and management,1,MANUFACTURING,I have some experience,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree strongly,Agree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Disagree a little,Agree moderately,Diagree strongly,A Lot,A Lot,Moderately,A Very Little,Enough,A Lot,Enough,A Little,Enough,Enough,A Little,A Little,A Lot,A Lot,A Little,A Little
Sri Lanka,1986,Male,,CAH17-01	Business and management,,"FINANCIAL AND INSURANCE ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Diagree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,Not At All,Not At All,A Little,Enough,Not At All,Not At All,Enough,A Very Little,Not At All,Not At All,Enough,Exactly,Not At All,A Very Little
India,1995,Male,,CAH10-01	Engineering,5,INFORMATION AND COMMUNICATION,I have some experience,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree strongly,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree strongly,Agree a little,Neither agree nor disagree,Diagree strongly,Agree strongly,Diagree strongly,A Lot,A Lot,A Very Little,Not At All,Enough,Exactly,Moderately,A Very Little,Exactly,Exactly,Not At All,Not At All,A Lot,Exactly,Exactly,Not At All
Cameroon,1991,Female,,CAH17-01	Business and management,2,OTHER SERVICE ACTIVITIES,I have some experience,Strongly agree,Strongly agree,,,Strongly agree,Strongly agree,,,,,,Agree strongly,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom of Great Britain and Northern Ireland,2001,Male,,CAH09-01	Mathematical sciences,0,,I have extensive experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Neither agree nor disagree,A Lot,Moderately,Moderately,Not At All,Enough,A Lot,Moderately,Not At All,Enough,A Lot,Not At All,Not At All,A Lot,A Lot,Not At All,Not At All
Egypt,2000,Male,,CAH11-01	Computing,0,"MANUFACTURING,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree moderately,Agree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Agree moderately,Diagree strongly,A Lot,Enough,Exactly,A Lot,Moderately,Enough,Exactly,A Little,Moderately,A Very Little,A Lot,A Little,Moderately,A Lot,A Lot,Enough
Myanmar,1995,Male,,CAH11-01	Computing,5,INFORMATION AND COMMUNICATION,I have extensive experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Disagree moderately,Agree moderately,Diagree strongly,Exactly,Exactly,Moderately,Not At All,A Lot,Exactly,,Not At All,A Lot,Exactly,Not At All,Not At All,Exactly,Exactly,A Lot,Not At All
United Kingdom of Great Britain and Northern Ireland,1991,Male,,CAH15-03	Politics,10,"INFORMATION AND COMMUNICATION,EDUCATION,OTHER SERVICE ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree moderately,Diagree strongly,Agree a little,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree a little,Diagree strongly,Agree moderately,Disagree a little,Enough,A Lot,Enough,A Very Little,Enough,A Lot,Moderately,Moderately,Enough,Moderately,Moderately,A Very Little,Enough,Enough,Moderately,A Little
Sri Lanka,1994,Male,,CAH11-01	Computing,6,INFORMATION AND COMMUNICATION,I have some experience,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Disagree moderately,Exactly,Enough,Not At All,Not At All,Exactly,Exactly,Not At All,A Little,Exactly,Enough,Not At All,Not At All,Exactly,Exactly,Not At All,A Little
Turkey,1984,Male,,CAH17-01	Business and management,9,"TRANSPORTATION AND STORAGE,INFORMATION AND COMMUNICATION",I have some experience,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Diagree strongly,Agree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree moderately,Agree a little,Exactly,Exactly,A Little,Not At All,Exactly,Exactly,A Little,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All
Malaysia,1998,Female,,CAH17-01	Business and management,2.5,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,Moderately,Moderately,Moderately,Exactly,Moderately,Moderately,Exactly,Exactly,Moderately,Moderately,Exactly,Exactly,Moderately,Moderately
Pakistan,1995,Male,,CAH10-01	Engineering,3,INFORMATION AND COMMUNICATION,I have some experience,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree moderately,Agree moderately,,Diagree strongly,Agree moderately,Disagree a little,Agree moderately,Diagree strongly,Agree moderately,Diagree strongly,A Lot,A Lot,A Lot,Not At All,A Lot,A Lot,A Very Little,A Very Little,A Lot,A Lot,A Very Little,A Very Little,A Lot,A Lot,A Very Little,Not At All
United Kingdom of Great Britain and Northern Ireland,2001,Female,,CAH17-01	Business and management,3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have extensive experience of teamworking,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,,,,,,,,,,,,,,,,
Sweden,1977,Male,,"CAH15-01	Sociology, social policy and anthropology",20,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,ARTS, ENTERTAINMENT AND RECREATION,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Disagree moderately,Disagree a little,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Moderately,Moderately,Exactly,Enough,Moderately,Enough,Exactly,A Little,Moderately,Moderately,Exactly,Moderately,Enough,Enough,Exactly,A Little
Pakistan,1987,Male,,CAH11-01	Computing,10,"INFORMATION AND COMMUNICATION,FINANCIAL AND INSURANCE ACTIVITIES,REAL ESTATE ACTIVITIES,EDUCATION",I have extensive experience of teamworking,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Agree a little,Agree moderately,Agree a little,Disagree a little,Disagree moderately,Disagree a little,A Lot,Enough,Exactly,Not At All,Moderately,Enough,Enough,Not At All,A Lot,Moderately,Moderately,Moderately,A Very Little,Enough,Enough,A Very Little
India,2001,Male,,CAH10-01	Engineering,0,,I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree strongly,Agree moderately,Agree strongly,Disagree a little,Agree moderately,Neither agree nor disagree,Agree a little,Diagree strongly,Agree a little,Disagree moderately,A Lot,Exactly,Exactly,Not At All,Moderately,A Lot,Exactly,Not At All,Moderately,Moderately,A Lot,Not At All,Enough,Exactly,Exactly,Not At All
Nigeria,2001,Male,,"CAH26-01 Geography, earth and environmental studies",1,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree a little,Disagree moderately,Agree a little,Disagree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Neither agree nor disagree,A Lot,Moderately,Exactly,A Little,Enough,Enough,Enough,A Very Little,Enough,Moderately,Moderately,A Little,Enough,Enough,A Lot,A Little
Viet Nam,1998,Male,,CAH11-01	Computing,2,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have some experience,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Diagree strongly,Agree moderately,Disagree a little,Exactly,Moderately,Moderately,Not At All,A Little,A Lot,Exactly,Not At All,A Little,Moderately,Not At All,Not At All,A Lot,Exactly,Exactly,Not At All
China,2002,Male,,CAH11-01	Computing,0,,I have no prior experience of teamworking,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Diagree strongly,Agree strongly,Diagree strongly,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Exactly,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately
Nigeria,1996,Female,,CAH17-01	Business and management,,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree a little,Agree strongly,Disagree moderately,A Lot,Exactly,Exactly,Not At All,A Lot,Exactly,Exactly,Moderately,A Lot,A Lot,Moderately,Moderately,Exactly,Exactly,A Lot,A Very Little
Nigeria,1980,Female,,CAH09-01	Mathematical sciences,16,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Disagree a little,A Lot,Not At All,Exactly,A Lot,A Lot,A Lot,A Lot,Moderately,Moderately,Moderately,Moderately,Not At All,A Lot,A Lot,A Lot,A Lot
Nigeria,2001,Female,,CAH17-01	Business and management,1.7,"FINANCIAL AND INSURANCE ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have some experience,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Diagree strongly,Agree moderately,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree moderately,Disagree a little,A Lot,A Lot,Exactly,Not At All,Enough,A Lot,A Lot,Not At All,Enough,Moderately,Moderately,Not At All,Enough,A Lot,A Lot,Not At All
Australia,1977,Female,,CAH16-01	Law,,"INFORMATION AND COMMUNICATION,EDUCATION,ARTS, ENTERTAINMENT AND RECREATION,OTHER SERVICE ACTIVITIES",I have some experience,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Disagree a little,Agree moderately,Disagree moderately,A Lot,A Lot,Exactly,Not At All,Moderately,A Lot,Exactly,Not At All,Enough,Not At All,Exactly,Not At All,Moderately,Exactly,Exactly,Not At All
United Kingdom of Great Britain and Northern Ireland,2001,Male,,CAH11-01	Computing,5,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,I have experience of teamworking and have also led teams,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree moderately,Agree a little,Agree strongly,Diagree strongly,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Not At All,A Very Little,Exactly,A Lot,Not At All,A Very Little,Exactly,A Lot,Not At All,Not At All,Exactly,A Lot,Not At All,Not At All,Exactly,Enough
India,2000,Male,,CAH10-01	Engineering,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,Diagree strongly,Agree moderately,Disagree moderately,A Lot,Exactly,Enough,Not At All,A Little,Exactly,A Lot,Not At All,Enough,Exactly,Not At All,Not At All,A Lot,A Lot,Exactly,Not At All
Nigeria,1976,Female,,CAH17-01	Business and management,,"INFORMATION AND COMMUNICATION,FINANCIAL AND INSURANCE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree moderately,Disagree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Diagree strongly,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree a little,Enough,Enough,Enough,Not At All,Enough,Enough,A Little,A Very Little,A Lot,A Very Little,A Very Little,A Very Little,Enough,Enough,A Very Little,A Very Little
Sri Lanka,2000,Female,,CAH17-01	Business and management,2,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree moderately,Disagree moderately,Disagree a little,Agree a little,A Lot,Exactly,Moderately,Not At All,Enough,A Lot,A Lot,A Very Little,Enough,Exactly,A Very Little,A Very Little,A Lot,A Lot,A Lot,A Very Little
Viet Nam,1997,Female,,CAH17-01	Business and management,4,"FINANCIAL AND INSURANCE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have some experience,Somewhat agree,Strongly agree,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree a little,Disagree moderately,Agree a little,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Diagree strongly,Disagree a little,Disagree moderately,Moderately,Enough,Enough,A Very Little,Moderately,Enough,Enough,Not At All,Moderately,Not At All,Moderately,Moderately,Moderately,Moderately,A Little,A Very Little
Thailand,2001,Male,,CAH17-01	Business and management,0,,I have some experience,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree a little,Agree a little,Agree moderately,Diagree strongly,Agree moderately,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree a little,Disagree a little,Exactly,Enough,Moderately,A Very Little,Exactly,Exactly,Enough,A Very Little,A Lot,Enough,Not At All,Not At All,Enough,Enough,A Little,Not At All
United Kingdom of Great Britain and Northern Ireland,2001,Male,,CAH04-01	Psychology,1,OTHER SERVICE ACTIVITIES,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree moderately,Agree a little,Agree a little,Enough,Enough,Enough,A Very Little,Enough,Enough,Enough,A Very Little,Enough,Enough,Enough,A Very Little,Enough,Enough,Enough,A Very Little
Iran,1995,Female,,CAH10-01	Engineering,6,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have extensive experience of teamworking,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree strongly,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree moderately,Disagree a little,Neither agree nor disagree,Diagree strongly,A Lot,Exactly,Enough,Not At All,A Lot,Exactly,Enough,A Very Little,Moderately,Exactly,Not At All,Not At All,Exactly,Exactly,Moderately,Not At All
United Kingdom of Great Britain and Northern Ireland,1997,Female,,CAH09-01	Mathematical sciences,10,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,EDUCATION,ARTS, ENTERTAINMENT AND RECREATION",I have some experience,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree a little,Disagree moderately,Agree moderately,Diagree strongly,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,A Lot,A Lot,A Lot,A Very Little,Moderately,Enough,Moderately,A Very Little,Enough,Enough,A Very Little,A Very Little,Enough,A Lot,A Little,Not At All
Egypt,1986,Male,,CAH10-01	Engineering,10,CONSTRUCTION,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Agree a little,Disagree a little,Agree strongly,Disagree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Agree a little,Agree moderately,A Lot,A Lot,Exactly,A Very Little,Moderately,A Lot,Exactly,A Little,Moderately,Enough,Moderately,A Very Little,Enough,A Lot,Exactly,Moderately
Sri Lanka,1987,Female,,CAH10-01	Engineering,7,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have some experience,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree strongly,Diagree strongly,Agree moderately,Diagree strongly,Agree strongly,Disagree moderately,Diagree strongly,Diagree strongly,Agree a little,Diagree strongly,Exactly,A Lot,Exactly,Moderately,A Lot,A Lot,Exactly,A Lot,Not At All,Not At All,Not At All,Not At All,Exactly,Exactly,Exactly,A Very Little
Algeria,1996,Male,,,1,CONSTRUCTION,I have some experience,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree strongly,Disagree a little,Exactly,Exactly,Enough,Not At All,A Lot,A Lot,A Lot,Not At All,A Lot,A Lot,Not At All,Not At All,A Lot,A Lot,A Lot,Not At All
Sri Lanka,1996,Female,,CAH17-01	Business and management,2,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree a little,Neither agree nor disagree,Agree moderately,Disagree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Enough,Moderately,Moderately,Not At All,Enough,Enough,A Very Little,A Very Little,A Lot,Moderately,Not At All,A Little,Moderately,A Lot,Moderately,A Little
Iran,1988,Male,,CAH10-01	Engineering,7,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY,CONSTRUCTION,REAL ESTATE ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,,Agree strongly,Agree moderately,Agree strongly,,Agree strongly,Diagree strongly,Agree strongly,,A Lot,A Lot,Exactly,A Lot,Exactly,Exactly,A Lot,,,A Lot,,,A Lot,Exactly,A Lot,
Sri Lanka,1996,Female,,CAH09-01	Mathematical sciences,1,MANUFACTURING,I have some experience,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Disagree moderately,Agree a little,Diagree strongly,A Little,A Lot,Exactly,Not At All,Moderately,Moderately,Exactly,Not At All,Moderately,Not At All,Moderately,Not At All,Moderately,A Lot,A Very Little,Not At All
India,1996,Male,,CAH17-01	Business and management,,CONSTRUCTION,I have some experience,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,A Lot,A Lot,Not At All,Not At All,A Lot,Exactly,Exactly,Not At All,A Lot,Exactly,Not At All,Not At All,A Lot,Exactly,Not At All,Not At All
