student_id,total_marks,list_of_countries,what_is_your_year_of_birth,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area,what_is_your_year_of_birth_just_the_year
150,61.8,United Kingdom of Great Britain and Northern Ireland,,Male,CAH09-01	Mathematical sciences,2000.0
151,63.6,United Kingdom of Great Britain and Northern Ireland,,Male,CAH04-01	Psychology,1996.0
152,61.2,Bangladesh,,Male,CAH10-01	Engineering,1999.0
153,58.0,Nigeria,,Female,CAH25-01	Creative arts and design,1976.0
154,71.0,Pakistan,,Male,CAH11-01	Computing,1998.0
155,68.2,Turkey,,Female,CAH22-01	Education and teaching,1969.0
156,73.0,Sri Lanka,,Male,CAH17-01	Business and management,2001.0
157,61.4,Sri Lanka,,Male,CAH17-01	Business and management,1986.0
158,60.6,India,,Male,CAH10-01	Engineering,1995.0
159,48.2,Cameroon,,Female,CAH17-01	Business and management,1991.0
160,61.8,United Kingdom of Great Britain and Northern Ireland,,Male,CAH09-01	Mathematical sciences,2001.0
161,64.4,Egypt,,Male,CAH11-01	Computing,2000.0
162,69.4,Myanmar,,Male,CAH11-01	Computing,1995.0
163,72.0,United Kingdom of Great Britain and Northern Ireland,,Male,CAH15-03	Politics,1991.0
164,65.0,Sri Lanka,,Male,CAH11-01	Computing,1994.0
165,61.6,Turkey,,Male,CAH17-01	Business and management,1984.0
166,68.6,Malaysia,,Female,CAH17-01	Business and management,1998.0
167,74.6,Pakistan,,Male,CAH10-01	Engineering,1995.0
168,63.0,United Kingdom of Great Britain and Northern Ireland,,Female,CAH17-01	Business and management,2001.0
169,76.2,Sweden,,Male,"CAH15-01	Sociology, social policy and anthropology",1977.0
170,73.4,Pakistan,,Male,CAH11-01	Computing,1987.0
171,73.2,India,,Male,CAH10-01	Engineering,2001.0
172,63.8,Nigeria,,Male,"CAH26-01 Geography, earth and environmental studies",2001.0
173,74.0,Viet Nam,,Male,CAH11-01	Computing,1998.0
174,64.6,China,,Male,CAH11-01	Computing,2002.0
175,71.2,Nigeria,,Female,CAH17-01	Business and management,1996.0
176,64.4,Nigeria,,Female,CAH09-01	Mathematical sciences,1980.0
177,66.2,Nigeria,,Female,CAH17-01	Business and management,2001.0
178,63.0,Australia,,Female,CAH16-01	Law,1977.0
179,65.8,United Kingdom of Great Britain and Northern Ireland,,Male,CAH11-01	Computing,2001.0
180,73.2,India,,Male,CAH10-01	Engineering,2000.0
181,64.4,Nigeria,,Female,CAH17-01	Business and management,1976.0
182,63.4,Sri Lanka,,Female,CAH17-01	Business and management,2000.0
183,68.6,Viet Nam,,Female,CAH17-01	Business and management,1997.0
184,73.0,Thailand,,Male,CAH17-01	Business and management,2001.0
185,67.4,United Kingdom of Great Britain and Northern Ireland,,Male,CAH04-01	Psychology,2001.0
186,62.4,Iran,,Female,CAH10-01	Engineering,1995.0
