student_id,list_of_countries,what_is_your_year_of_birth_just_the_year_eg_1995_,how_do_you_describe_yourself___selected_choice,how_do_you_describe_yourself___prefer_to_self_describe___text,what_is_your_first_degree_subject_area,how_many_years_work_experience_do_you_have,what_sectors_have_you_worked_in,previous_experiences_of_team_working_in_study_and_work,enjoy_working_in_the_team,team_communication_will_be_highly_effective,team_communication_will_be_very_frequent,bond_perosnally_with_my_team_members,we_will_collaborate_together_on_the_same_tasks,work_separately_and_link_up_our_work_later,develop_my_professional_skills,develop_my_team_working_skills,adjust_the_project_regularly,we_will_stick_to_our_original_project,we_will_produce_an_end_result_which_we_are_proud_of,i_see_myself_as___extraverted_enthusiastic,i_see_myself_as___critical_quarrelsome,i_see_myself_as___dependable_self_disciplined,i_see_myself_as___anxious_easily_upset,i_see_myself_as___open_to_a_new_experiences_complex,i_see_myself_as___reserved_quiet,i_see_myself_as___sympathetic_warm,i_see_myself_as___disorganised_careless,i_see_myself_as___calm_emotionally_stable,i_see_myself_as___conventional_uncreative,this_module_is_interesting,for_my_own_good,because_i_am_supposed_to_do_it,i_don’t_see_any_good_reasons_in_the_module,this_module_is_pleasant,this_module_is_good_for_me,because_it_is_something_that_i_have_to_do,i_am_not_sure_if_it_is_worth_it,because_this_module_looks_fun,by_personal_decision,don’t_have_any_choice,don’t_see_what_this_module_brings_me,because_i_feel_good_about_this_module,module_is_important_for_me,i_feel_that_i_have_to_do_it,i_am_not_sure_it_is_a_good_thing_to_pursue_it
1,Nigeria,1996,Male,,"CAH13-01	Architecture, building and planning",5,"CONSTRUCTION,REAL ESTATE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree moderately,Disagree moderately,Agree moderately,Diagree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Exactly,Moderately,Exactly,A Little,Exactly,Enough,Exactly,Exactly,Not At All,Moderately,Exactly,Exactly,Exactly,A Little
161,Egypt,2000,Male,,CAH11-01	Computing,0,"MANUFACTURING,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree moderately,Agree moderately,Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree moderately,Agree moderately,Diagree strongly,A Lot,Enough,Exactly,A Lot,Moderately,Enough,Exactly,A Little,Moderately,A Very Little,A Lot,A Little,Moderately,A Lot,A Lot,Enough
162,Myanmar,1995,Male,,CAH11-01	Computing,5,INFORMATION AND COMMUNICATION,I have extensive experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Disagree moderately,Agree moderately,Diagree strongly,Exactly,Exactly,Moderately,Not At All,A Lot,Exactly,,Not At All,A Lot,Exactly,Not At All,Not At All,Exactly,Exactly,A Lot,Not At All
163,United Kingdom of Great Britain and Northern Ireland,1991,Male,,CAH15-03	Politics,10,"INFORMATION AND COMMUNICATION,EDUCATION,OTHER SERVICE ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree moderately,Diagree strongly,Agree a little,Disagree moderately,Agree strongly,Neither agree nor disagree,Agree a little,Diagree strongly,Agree moderately,Disagree a little,Enough,A Lot,Enough,A Very Little,Enough,A Lot,Moderately,Moderately,Enough,Moderately,Moderately,A Very Little,Enough,Enough,Moderately,A Little
164,Sri Lanka,1994,Male,,CAH11-01	Computing,6,INFORMATION AND COMMUNICATION,I have some experience,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree strongly,Disagree moderately,Exactly,Enough,Not At All,Not At All,Exactly,Exactly,Not At All,A Little,Exactly,Enough,Not At All,Not At All,Exactly,Exactly,Not At All,A Little
165,Turkey,1984,Male,,CAH17-01	Business and management,9,"TRANSPORTATION AND STORAGE,INFORMATION AND COMMUNICATION",I have some experience,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Diagree strongly,Agree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree moderately,Agree a little,Exactly,Exactly,A Little,Not At All,Exactly,Exactly,A Little,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,Not At All,Not At All
166,Malaysia,1998,Female,,CAH17-01	Business and management,2.5,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Diagree strongly,Exactly,Exactly,Moderately,Moderately,Moderately,Exactly,Moderately,Moderately,Exactly,Exactly,Moderately,Moderately,Exactly,Exactly,Moderately,Moderately
167,Pakistan,1995,Male,,CAH10-01	Engineering,3,INFORMATION AND COMMUNICATION,I have some experience,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree moderately,Agree moderately,,Diagree strongly,Agree moderately,Disagree a little,Agree moderately,Diagree strongly,Agree moderately,Diagree strongly,A Lot,A Lot,A Lot,Not At All,A Lot,A Lot,A Very Little,A Very Little,A Lot,A Lot,A Very Little,A Very Little,A Lot,A Lot,A Very Little,Not At All
168,United Kingdom of Great Britain and Northern Ireland,2001,Female,,CAH17-01	Business and management,3,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have extensive experience of teamworking,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree a little,Agree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,,,,,,,,,,,,,,,,
169,Sweden,1977,Male,,"CAH15-01	Sociology, social policy and anthropology",20,"ACCOMMODATION AND FOOD SERVICE ACTIVITIES,INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,ARTS, ENTERTAINMENT AND RECREATION,OTHER SERVICE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Disagree moderately,Disagree a little,Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Moderately,Moderately,Exactly,Enough,Moderately,Enough,Exactly,A Little,Moderately,Moderately,Exactly,Moderately,Enough,Enough,Exactly,A Little
170,Pakistan,1987,Male,,CAH11-01	Computing,10,"INFORMATION AND COMMUNICATION,FINANCIAL AND INSURANCE ACTIVITIES,REAL ESTATE ACTIVITIES,EDUCATION",I have extensive experience of teamworking,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Agree a little,Agree moderately,Agree a little,Disagree a little,Disagree moderately,Disagree a little,A Lot,Enough,Exactly,Not At All,Moderately,Enough,Enough,Not At All,A Lot,Moderately,Moderately,Moderately,A Very Little,Enough,Enough,A Very Little
171,India,2001,Male,,CAH10-01	Engineering,0,,I have experience of teamworking and have also led teams,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree strongly,Agree moderately,Agree strongly,Disagree a little,Agree moderately,Neither agree nor disagree,Agree a little,Diagree strongly,Agree a little,Disagree moderately,A Lot,Exactly,Exactly,Not At All,Moderately,A Lot,Exactly,Not At All,Moderately,Moderately,A Lot,Not At All,Enough,Exactly,Exactly,Not At All
172,Nigeria,2001,Male,,"CAH26-01 Geography, earth and environmental studies",1,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree a little,Disagree moderately,Agree a little,Disagree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Neither agree nor disagree,A Lot,Moderately,Exactly,A Little,Enough,Enough,Enough,A Very Little,Enough,Moderately,Moderately,A Little,Enough,Enough,A Lot,A Little
173,Viet Nam,1998,Male,,CAH11-01	Computing,2,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have some experience,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Diagree strongly,Agree moderately,Disagree a little,Exactly,Moderately,Moderately,Not At All,A Little,A Lot,Exactly,Not At All,A Little,Moderately,Not At All,Not At All,A Lot,Exactly,Exactly,Not At All
174,China,2002,Male,,CAH11-01	Computing,0,,I have no prior experience of teamworking,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Diagree strongly,Diagree strongly,Agree strongly,Diagree strongly,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Exactly,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately
175,Nigeria,1996,Female,,CAH17-01	Business and management,,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Neither agree nor disagree,Agree strongly,Disagree a little,Agree strongly,Disagree moderately,A Lot,Exactly,Exactly,Not At All,A Lot,Exactly,Exactly,Moderately,A Lot,A Lot,Moderately,Moderately,Exactly,Exactly,A Lot,A Very Little
176,Nigeria,1980,Female,,CAH09-01	Mathematical sciences,16,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Disagree a little,A Lot,Not At All,Exactly,A Lot,A Lot,A Lot,A Lot,Moderately,Moderately,Moderately,Moderately,Not At All,A Lot,A Lot,A Lot,A Lot
177,Nigeria,2001,Female,,CAH17-01	Business and management,1.7,"FINANCIAL AND INSURANCE ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have some experience,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Diagree strongly,Agree moderately,Diagree strongly,Agree strongly,Agree strongly,Agree strongly,Diagree strongly,Agree moderately,Disagree a little,A Lot,A Lot,Exactly,Not At All,Enough,A Lot,A Lot,Not At All,Enough,Moderately,Moderately,Not At All,Enough,A Lot,A Lot,Not At All
178,Australia,1977,Female,,CAH16-01	Law,,"INFORMATION AND COMMUNICATION,EDUCATION,ARTS, ENTERTAINMENT AND RECREATION,OTHER SERVICE ACTIVITIES",I have some experience,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Disagree a little,Agree moderately,Disagree moderately,A Lot,A Lot,Exactly,Not At All,Moderately,A Lot,Exactly,Not At All,Enough,Not At All,Exactly,Not At All,Moderately,Exactly,Exactly,Not At All
179,United Kingdom of Great Britain and Northern Ireland,2001,Male,,CAH11-01	Computing,5,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,I have experience of teamworking and have also led teams,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Disagree moderately,Agree a little,Agree strongly,Diagree strongly,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Not At All,A Very Little,Exactly,A Lot,Not At All,A Very Little,Exactly,A Lot,Not At All,Not At All,Exactly,A Lot,Not At All,Not At All,Exactly,Enough
180,India,2000,Male,,CAH10-01	Engineering,1,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,Diagree strongly,Agree moderately,Disagree moderately,A Lot,Exactly,Enough,Not At All,A Little,Exactly,A Lot,Not At All,Enough,Exactly,Not At All,Not At All,A Lot,A Lot,Exactly,Not At All
181,Nigeria,1976,Female,,CAH17-01	Business and management,,"INFORMATION AND COMMUNICATION,FINANCIAL AND INSURANCE ACTIVITIES",I have experience of teamworking and have also led teams,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree moderately,Disagree a little,Agree moderately,Neither agree nor disagree,Agree moderately,Diagree strongly,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree a little,Enough,Enough,Enough,Not At All,Enough,Enough,A Little,A Very Little,A Lot,A Very Little,A Very Little,A Very Little,Enough,Enough,A Very Little,A Very Little
182,Sri Lanka,2000,Female,,CAH17-01	Business and management,2,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Agree a little,Agree moderately,Disagree moderately,Disagree a little,Agree a little,A Lot,Exactly,Moderately,Not At All,Enough,A Lot,A Lot,A Very Little,Enough,Exactly,A Very Little,A Very Little,A Lot,A Lot,A Lot,A Very Little
183,Viet Nam,1997,Female,,CAH17-01	Business and management,4,"FINANCIAL AND INSURANCE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have some experience,Somewhat agree,Strongly agree,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Disagree a little,Disagree moderately,Agree a little,Diagree strongly,Agree strongly,Neither agree nor disagree,Agree a little,Diagree strongly,Disagree a little,Disagree moderately,Moderately,Enough,Enough,A Very Little,Moderately,Enough,Enough,Not At All,Moderately,Not At All,Moderately,Moderately,Moderately,Moderately,A Little,A Very Little
184,Thailand,2001,Male,,CAH17-01	Business and management,0,,I have some experience,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree a little,Agree a little,Agree moderately,Diagree strongly,Agree moderately,Neither agree nor disagree,Agree strongly,Diagree strongly,Agree a little,Disagree a little,Exactly,Enough,Moderately,A Very Little,Exactly,Exactly,Enough,A Very Little,A Lot,Enough,Not At All,Not At All,Enough,Enough,A Little,Not At All
185,United Kingdom of Great Britain and Northern Ireland,2001,Male,,CAH04-01	Psychology,1,OTHER SERVICE ACTIVITIES,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree a little,Agree a little,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree moderately,Agree a little,Agree a little,Enough,Enough,Enough,A Very Little,Enough,Enough,Enough,A Very Little,Enough,Enough,Enough,A Very Little,Enough,Enough,Enough,A Very Little
186,Iran,1995,Female,,CAH10-01	Engineering,6,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",I have extensive experience of teamworking,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree strongly,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Agree moderately,Disagree a little,Neither agree nor disagree,Diagree strongly,A Lot,Exactly,Enough,Not At All,A Lot,Exactly,Enough,A Very Little,Moderately,Exactly,Not At All,Not At All,Exactly,Exactly,Moderately,Not At All
187,United Kingdom of Great Britain and Northern Ireland,1997,Female,,CAH09-01	Mathematical sciences,10,"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,EDUCATION,ARTS, ENTERTAINMENT AND RECREATION",I have some experience,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree a little,Disagree moderately,Agree moderately,Diagree strongly,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree strongly,Disagree a little,A Lot,A Lot,A Lot,A Very Little,Moderately,Enough,Moderately,A Very Little,Enough,Enough,A Very Little,A Very Little,Enough,A Lot,A Little,Not At All
188,Egypt,1986,Male,,CAH10-01	Engineering,10,CONSTRUCTION,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Agree a little,Disagree a little,Agree strongly,Disagree moderately,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Agree a little,Agree moderately,A Lot,A Lot,Exactly,A Very Little,Moderately,A Lot,Exactly,A Little,Moderately,Enough,Moderately,A Very Little,Enough,A Lot,Exactly,Moderately
189,Sri Lanka,1987,Female,,CAH10-01	Engineering,7,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES",I have some experience,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree strongly,Diagree strongly,Agree moderately,Diagree strongly,Agree strongly,Disagree moderately,Diagree strongly,Diagree strongly,Agree a little,Diagree strongly,Exactly,A Lot,Exactly,Moderately,A Lot,A Lot,Exactly,A Lot,Not At All,Not At All,Not At All,Not At All,Exactly,Exactly,Exactly,A Very Little
190,Algeria,1996,Male,,,1,CONSTRUCTION,I have some experience,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree strongly,Disagree a little,Exactly,Exactly,Enough,Not At All,A Lot,A Lot,A Lot,Not At All,A Lot,A Lot,Not At All,Not At All,A Lot,A Lot,A Lot,Not At All
191,Sri Lanka,1996,Female,,CAH17-01	Business and management,2,FINANCIAL AND INSURANCE ACTIVITIES,I have experience of teamworking and have also led teams,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree a little,Neither agree nor disagree,Agree moderately,Disagree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Enough,Moderately,Moderately,Not At All,Enough,Enough,A Very Little,A Very Little,A Lot,Moderately,Not At All,A Little,Moderately,A Lot,Moderately,A Little
192,Iran,1988,Male,,CAH10-01	Engineering,7,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY,CONSTRUCTION,REAL ESTATE ACTIVITIES",I have extensive experience of teamworking,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree strongly,,Agree strongly,Agree moderately,Agree strongly,,Agree strongly,Diagree strongly,Agree strongly,,A Lot,A Lot,Exactly,A Lot,Exactly,Exactly,A Lot,,,A Lot,,,A Lot,Exactly,A Lot,
193,Sri Lanka,1996,Female,,CAH09-01	Mathematical sciences,1,MANUFACTURING,I have some experience,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Disagree moderately,Agree a little,Diagree strongly,A Little,A Lot,Exactly,Not At All,Moderately,Moderately,Exactly,Not At All,Moderately,Not At All,Moderately,Not At All,Moderately,A Lot,A Very Little,Not At All
194,India,1996,Male,,CAH17-01	Business and management,,CONSTRUCTION,I have some experience,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree moderately,Diagree strongly,Agree strongly,Diagree strongly,Agree strongly,Agree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,A Lot,A Lot,Not At All,Not At All,A Lot,Exactly,Exactly,Not At All,A Lot,Exactly,Not At All,Not At All,A Lot,Exactly,Not At All,Not At All
195,India,1997,Male,,CAH10-01	Engineering,2.7,"REAL ESTATE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Agree moderately,Disagree moderately,Agree strongly,Disagree moderately,Agree strongly,Disagree a little,Neither agree nor disagree,Diagree strongly,Agree moderately,Diagree strongly,Exactly,Exactly,Moderately,Not At All,Enough,A Lot,A Lot,Not At All,Exactly,Exactly,Not At All,Not At All,Enough,Exactly,Exactly,Not At All
196,Nigeria,1991,Male,,CAH11-01	Computing,5,"MANUFACTURING,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES",I have some experience,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree moderately,Diagree strongly,Agree moderately,Diagree strongly,Agree strongly,Agree a little,Agree moderately,Diagree strongly,Agree strongly,Disagree moderately,Exactly,Exactly,A Little,A Very Little,A Lot,Exactly,A Lot,Not At All,Exactly,Exactly,Not At All,Not At All,Exactly,Exactly,A Lot,Not At All
197,Nigeria,1997,Female,,CAH15-02	Economics,2,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,I have some experience,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Agree strongly,,Agree strongly,Diagree strongly,Agree strongly,Agree a little,Agree moderately,Diagree strongly,Neither agree nor disagree,Disagree moderately,Exactly,Exactly,A Lot,Not At All,Exactly,Exactly,A Lot,Not At All,Exactly,Moderately,Moderately,Not At All,Exactly,Exactly,Not At All,Not At All
198,United Kingdom of Great Britain and Northern Ireland,2000,Female,,CAH04-01	Psychology,2.5,"WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,ACCOMMODATION AND FOOD SERVICE ACTIVITIES",I have some experience,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree a little,Agree moderately,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree moderately,Agree moderately,Disagree a little,Enough,Exactly,Moderately,Moderately,Moderately,Enough,Exactly,Enough,A Very Little,Not At All,A Lot,Moderately,Not At All,Moderately,Exactly,Enough
199,Malaysia,2000,Female,,CAH17-01	Business and management,,FINANCIAL AND INSURANCE ACTIVITIES,I have some experience,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Enough,Enough,Enough,A Little,Enough,Enough,Enough,Enough,Enough,Enough,Moderately,A Very Little,Enough,Enough,Enough,Enough
200,United Kingdom of Great Britain and Northern Ireland,2001,Female,,CAH15-02	Economics,,FINANCIAL AND INSURANCE ACTIVITIES,I have extensive experience of teamworking,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Disagree a little,Disagree moderately,Agree a little,Neither agree nor disagree,Agree a little,Agree moderately,Agree a little,Diagree strongly,Agree moderately,Disagree a little,Moderately,A Lot,Exactly,Not At All,Enough,Enough,A Lot,Not At All,Enough,A Lot,Enough,A Little,A Little,Moderately,A Little,A Little
